股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
2852.TW,"The First Insurance Co., Ltd.",3.0,10.738,0.4,0.374,29.85,8989745152.0,Insurance - Property & Casualty,Financial Services
6672.TW,"Ventec International Group Co.,Ltd.",4.95,10.663,-6.5,2.629,73.1,5221898240.0,Electronic Components,Technology
2884.TW,"E.SUN Financial Holding Company, Ltd.",1.63,10.657,-0.6,,28.75,459879251968.0,Banks - Regional,Financial Services
5306.TW,KMC (Kuei Meng) International Inc.,6.97,10.610999999999999,17.599999999999998,1.866,112.0,14112111616.0,Auto Parts,Consumer Cyclical
3168.TW,Data Image Corporation,2.91,10.6070004,-11.3,2.061,46.4,3623840000.0,Electronic Components,Technology
3501.TW,"Well Shin Technology Co., Ltd.",6.08,10.600999999999999,5.8999999999999995,3.349,61.4,7261041152.0,Electrical Equipment & Parts,Industrials
1612.TW,"Hong Tai Electric Industrial Co., Ltd.",2.37,10.586,-6.0,2.725,32.95,10414836736.0,Electrical Equipment & Parts,Industrials
6671.TW,"San Neng Group Holdings Co., LTD.",3.16,10.493,2.7,1.941,42.2,2563650048.0,Household & Personal Products,Consumer Defensive
3036.TW,"WT Microelectronics Co., Ltd.",8.05,10.4729995,38.1,0.785,97.7,109145546752.0,Electronic Components,Technology
2812.TW,"Taichung Commercial Bank Co., Ltd.",1.5,10.456,9.3,,20.55,113410514944.0,Banks - Regional,Financial Services
1558.TW,"Zeng Hsing Industrial Co., Ltd.",6.79,10.406,8.1,1.621,105.5,7019505664.0,"Furnishings, Fixtures & Appliances",Consumer Cyclical
4736.TW,TaiDoc Technology Corporation,9.27,10.404000400000001,23.1,2.07,144.0,13733926912.0,Medical Devices,Healthcare
9802.TW,"Fulgent Sun International (Holding) Co., Ltd.",7.2,10.391,19.2,1.369,119.5,23939434496.0,Footwear & Accessories,Consumer Cyclical
8261.TW,"Advanced Power Electronics Co., Ltd.",4.75,10.366999,14.6,7.026,80.6,9546505216.0,Semiconductors,Technology
6277.TW,"Aten International Co., Ltd",4.08,10.3640005,2.0,1.257,73.2,8745276416.0,Computer Hardware,Technology
2250.TW,IKKA Holdings (Cayman) Limited,5.79,10.301,-7.8,1.893,106.5,3536013056.0,Specialty Industrial Machinery,Industrials
3711.TW,"ASE Technology Holding Co., Ltd.",7.19,10.22,1.0,0.898,143.0,621126221824.0,Semiconductors,Technology
2611.TW,"Tze Shin International Co., Ltd.",1.64,10.2139995,9.8,4.796,21.1,3987942400.0,Marine Shipping,Industrials
8341.TW,"Sunny Friend Environmental Technology Co., Ltd.",3.68,10.176,19.400000000000002,1.445,81.5,10595000320.0,Waste Management,Industrials
1752.TW,"Nang Kuang Pharmaceutical Co., Ltd.",2.4,10.144,12.2,0.634,39.95,4034470656.0,Medical Instruments & Supplies,Healthcare
4119.TW,"SCI Pharmtech, Inc.",4.46,10.11,37.9,0.968,77.6,9273897984.0,Drug Manufacturers - Specialty & Generic,Healthcare
2351.TW,SDI Corporation,3.7,10.042,5.3,1.1,80.8,14716912640.0,Semiconductor Equipment & Materials,Technology
6789.TW,VisEra Technologies Company Ltd.,5.44,10.024,43.0,3.247,218.5,69220802560.0,Semiconductors,Technology
2013.TW,"China Steel Structure Co., Ltd.",2.69,9.9659994,18.2,0.459,48.7,9740000256.0,Steel,Basic Materials
5469.TW,HannStar Board Corporation,5.89,9.936,0.8999999999999999,1.173,52.3,25282134016.0,Electronic Components,Technology
2886.TW,"Mega Financial Holding Co., Ltd.",2.35,9.935000500000001,-9.4,,39.9,591852666880.0,Banks - Regional,Financial Services
2832.TW,"Taiwan Fire & Marine Insurance Co., Ltd.",3.2,9.908,-2.7,0.396,33.65,12188030976.0,Insurance - Property & Casualty,Financial Services
2892.TW,"First Financial Holding Co., Ltd.",1.81,9.823,16.0,,27.05,368423698432.0,Banks - Regional,Financial Services
9105.TW,Cal-Comp Electronics (Thailand) Public Company Limited,0.24,9.8000005,2.1,1.039,6.45,67402498048.0,Computer Hardware,Technology
2608.TW,Kerry TJ Logistics Company Limited,2.24,9.771,4.9,0.987,37.65,17582551040.0,Trucking,Industrials
2527.TW,Hung Ching Development & Construction Co. Ltd,4.84,9.747,3028.9,0.26,32.8,8585661952.0,Real Estate Services,Real Estate
2211.TW,Evergreen Steel Corp.,6.12,9.742,74.8,1.537,88.0,36704010240.0,Metal Fabrication,Industrials
2412.TW,"Chunghwa Telecom Co., Ltd.",4.78,9.719,5.5,1.168,128.5,996832378880.0,Telecom Services,Communication Services
2317.TW,"Hon Hai Precision Industry Co., Ltd.",10.8,9.7049996,15.0,1.153,146.0,2027750293504.0,Electronic Components,Technology
8103.TW,CviLux Corporation,3.92,9.665,16.7,3.201,46.05,3635928064.0,Electronic Components,Technology
2514.TW,"Long Bon International Co.,Ltd",2.83,9.645,20.1,0.787,18.9,6768467968.0,Engineering & Construction,Industrials
1470.TW,evertex fabrinology limited,1.13,9.633,67.4,2.847,21.75,1865432192.0,Textile Manufacturing,Consumer Cyclical
2809.TW,"King's Town Bank Co., Ltd.",4.52,9.593,-18.099999999999998,,49.0,54450266112.0,Banks - Regional,Financial Services
4532.TW,"Rechi Precision Co., Ltd.",2.0,9.575,23.799999999999997,0.939,30.3,14998348800.0,Specialty Industrial Machinery,Industrials
2231.TW,Cub Elecparts Inc.,3.23,9.559,37.8,1.178,79.9,11259347968.0,Auto Parts,Consumer Cyclical
5244.TW,"Brightek Optoelectronic Co., Ltd.",2.37,9.5419995,-13.100000000000001,5.905,45.55,3094849024.0,Electronic Components,Technology
2489.TW,"AmTRAN Technology Co.,Ltd",1.79,9.476999999999999,24.7,1.884,15.15,10302000128.0,Electrical Equipment & Parts,Industrials
4545.TW,"Min Aik Precision Industrial Co., Ltd.",2.36,9.4440006,30.099999999999998,1.547,37.1,2856699904.0,Metal Fabrication,Industrials
3003.TW,K.S. Terminals Inc.,3.88,9.4160005,17.5,3.432,60.4,9401563136.0,Electrical Equipment & Parts,Industrials
6579.TW,AAEON Technology Inc.,7.67,9.405,-14.6,3.584,131.5,22282807296.0,Computer Hardware,Technology
3346.TW,"Laster Tech Co., Ltd.",2.16,9.368,4.9,1.01,29.6,3586306560.0,Semiconductors,Technology
1608.TW,"Hua Eng Wire & Cable Co., Ltd.",1.54,9.264,4.2,0.764,25.65,10880986112.0,Electrical Equipment & Parts,Industrials
