stock_code,code,name,market,sector,industry
9924.TW,9924,福興,上市,Utilities,Others
9925.TW,9925,新保,上市,Utilities,Others
9926.TW,9926,新海,上市,Utilities,Others
9927.TW,9927,泰銘,上市,Utilities,Others
9928.TW,9928,中視,上市,Utilities,Others
9929.TW,9929,秋雨,上市,Utilities,Others
9930.TW,9930,中聯資源,上市,Utilities,Others
9931.TW,9931,欣高,上市,Utilities,Others
9933.TW,9933,中鼎,上市,Utilities,Others
9934.TW,9934,成霖,上市,Utilities,Others
9935.TW,9935,慶豐富,上市,Utilities,Others
9937.TW,9937,全國,上市,Utilities,Others
9938.TW,9938,百和,上市,Utilities,Others
9939.TW,9939,宏全,上市,Utilities,Others
9940.TW,9940,信義,上市,Utilities,Others
9941.TW,9941,裕融,上市,Utilities,Others
9942.TW,9942,茂順,上市,Utilities,Others
9943.TW,9943,好樂迪,上市,Utilities,Others
9944.TW,9944,新麗,上市,Utilities,Others
9945.TW,9945,潤泰新,上市,Utilities,Others
9946.TW,9946,三發地產,上市,Utilities,Others
9955.TW,9955,佳龍,上市,Utilities,Others
9958.TW,9958,世紀鋼,上市,Utilities,Others
9962.TW,9962,有益鋼,上市,Utilities,Others
