股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
3518.TW,"Paragon Technologies Co., Ltd.",-2.09,-13.857000999999999,3.2,4.236,18.3,1774408192,Specialty Industrial Machinery,Industrials
3528.TW,"Answer Technology Co., Ltd.",4.11,14.652999999999999,16.1,0.741,70.2,4677145088,Electronics & Computer Distribution,Technology
3530.TW,"Silicon Optronics, Inc.",-1.33,-0.783,34.2,2.088,62.4,4834502656,Semiconductors,Technology
3532.TW,Formosa Sumco Technology Corporation,3.35,5.173,-19.0,1.089,74.7,28972244992,Semiconductor Equipment & Materials,Technology
3533.TW,"Lotes Co., Ltd",82.23,27.861000000000004,26.3,2.862,1290.0,145170153472,Electronic Components,Technology
3535.TW,"Favite, Inc.",0.69,4.817,111.3,3.588,33.85,2675910144,Computer Hardware,Technology
3543.TW,"Jochu Technology Co., Ltd.",-1.14,-4.723,-1.6,2.099,18.1,1597563904,Electronic Components,Technology
3545.TW,"FocalTech Systems Co., Ltd.",2.64,5.8500000000000005,15.299999999999999,1.874,62.7,13664336896,Semiconductors,Technology
3550.TW,Copartner Technology Corporation,-2.01,-19.118999,-11.600000000000001,1.354,13.15,1151282432,Electrical Equipment & Parts,Industrials
3557.TW,"Jia Wei Lifestyle, Inc.",6.81,21.5,1.0999999999999999,0.63,54.9,4408492032,Specialty Retail,Consumer Cyclical
3563.TW,Machvision Inc.,5.53,2.3689999999999998,-16.5,8.84,445.0,25874970624,Semiconductor Equipment & Materials,Technology
3576.TW,"United Renewable Energy Co., Ltd.",-1.31,-17.567,-29.2,1.205,8.34,13566927872,Solar,Technology
3583.TW,Scientech Corporation,11.35,20.712,32.5,0.448,252.0,20242655232,Semiconductors,Technology
3588.TW,Leadtrend Technology Corporation,1.86,6.565,2.1,3.443,49.15,2970213120,Semiconductors,Technology
3591.TW,Edison Opto Corporation,0.99,4.956,27.0,2.978,20.7,2941656320,Electronic Components,Technology
3592.TW,Raydium Semiconductor Corporation,27.24,18.009000999999998,15.7,2.055,316.0,23970242560,Semiconductors,Technology
3593.TW,Logah Technology Corp.,-2.19,-26.516000000000002,-11.899999999999999,0.473,7.47,695023744,Electronic Components,Technology
3596.TW,Arcadyan Technology Corporation,11.14,16.035,-14.399999999999999,0.87,203.5,44842037248,Communication Equipment,Technology
3605.TW,"ACES Electronics Co., Ltd.",2.34,1.8860001000000002,21.9,1.346,48.35,7190224896,Electronic Components,Technology
3607.TW,"Coxon Precise Industrial Co., Ltd",0.17,1.1619999,32.0,1.568,15.65,1904010240,Packaging & Containers,Consumer Cyclical
3617.TW,"Cyber Power Systems, Inc.",24.17,27.387,14.000000000000002,1.429,256.5,24153579520,Electrical Equipment & Parts,Industrials
3622.TW,"Young Fast Optoelectronics Co., Ltd.",4.75,11.0869996,-33.6,11.714,48.9,7399939584,Electronic Components,Technology
3645.TW,Taimide Tech. Inc.,1.76,7.697,62.1,1.057,52.4,6927542272,Electronic Components,Technology
3652.TW,"Unitech Electronics Co., Ltd.",1.25,5.099,12.6,2.639,30.15,2264204544,Computer Hardware,Technology
3653.TW,"Jentech Precision Industrial Co., Ltd",24.12,25.301000000000002,41.5,1.866,932.0,133203304448,Electronic Components,Technology
5706.TW,"Phoenix Tours International, Inc.",3.74,18.584999999999997,48.4,0.85,52.5,4224202496,Travel Services,Consumer Cyclical
5871.TW,Chailease Holding Company Limited,13.15,13.489999999999998,-10.0,1.267,109.0,182886744064,Credit Services,Financial Services
5906.TW,"Tainan Enterprise (Cayman) Co., Limited",1.67,7.217999999999999,-15.0,0.417,50.9,1783566592,Apparel Manufacturing,Consumer Cyclical
5907.TW,Grand Ocean Retail Group Ltd.,-2.62,-30.349999999999998,-16.1,0.131,8.19,1550923904,Department Stores,Consumer Cyclical
6005.TW,Capital Securities Corporation,2.25,12.139,21.7,0.629,23.25,50473656320,Capital Markets,Financial Services
6024.TW,Capital Futures Corporation,5.59,16.628,6.800000000000001,1.091,44.55,11134737408,Capital Markets,Financial Services
6108.TW,APCB Inc.,0.92,4.061,-25.5,1.704,14.25,2237164544,Electronic Components,Technology
6112.TW,Metaage Corporation,0.6,-0.265,4.0,0.6,43.9,8268872192,Information Technology Services,Technology
6115.TW,"I-Sheng Electric Wire & Cable Co., Ltd.",3.61,12.607999,24.8,2.071,48.15,9035925504,Electrical Equipment & Parts,Industrials
6116.TW,HannStar Display Corporation,-1.86,-14.035,-4.3999999999999995,1.231,7.15,20439349248,Electronic Components,Technology
6117.TW,In Win Development Inc.,3.94,23.902,1.5,1.226,77.8,7080998400,Computer Hardware,Technology
6120.TW,Darwin Precisions Corporation,0.28,2.086,16.3,1.552,11.15,7420938240,Electronic Components,Technology
6128.TW,"General Plastic Industrial Co., Ltd.",2.85,8.615,4.2,0.682,33.15,4229575424,Business Equipment & Supplies,Industrials
6133.TW,Golden Bridge Electech Inc.,0.65,3.4299999999999997,24.099999999999998,0.901,15.25,1784341504,Electrical Equipment & Parts,Industrials
6136.TW,"Fullerton Technology Co., Ltd.",0.89,2.8199999,6.0,8.964,21.75,2512908032,Advertising Agencies,Communication Services
6139.TW,"L&K Engineering Co., Ltd.",17.91,31.151,-55.50000000000001,1.129,217.0,50562084864,Engineering & Construction,Industrials
6141.TW,"Plotech Co.,Ltd",-8.05,-51.11599999999999,-28.499999999999996,0.266,11.25,1275232512,Electronic Components,Technology
6142.TW,"Cameo Communications, Inc.",-0.5,-5.322,49.1,2.549,9.14,3023329280,Communication Equipment,Technology
6152.TW,Prime Electronics & Satellitics Inc.,-0.23,-2.688,-17.1,1.178,9.45,1585124096,Communication Equipment,Technology
6153.TW,"Career Technology (Mfg.) Co., Ltd.",-4.41,-23.139000000000003,-26.8,1.289,12.4,7888606720,Electronic Components,Technology
6155.TW,King Core Electronics Inc.,0.96,5.2940000000000005,10.8,1.373,21.45,1883552384,Electronic Components,Technology
6164.TW,Ledtech Electronics Corp.,0.47,4.236,4.5,1.695,10.75,688000000,Electrical Equipment & Parts,Industrials
6165.TW,Lang Inc.,1.03,6.734999999999999,3.9,2.051,44.2,3436665088,Electronic Components,Technology
6166.TW,Adlink Technology Inc.,0.23,0.24899999,5.0,1.007,79.1,17204011008,Computer Hardware,Technology
6168.TW,Harvatek Corporation,0.03,0.242,7.9,3.544,16.8,3456918784,Semiconductors,Technology
6176.TW,Radiant Opto-Electronics Corporation,15.45,20.146998999999997,26.3,2.03,164.0,76264431616,Electronic Components,Technology
6177.TW,"Da-Li Development Co.,Ltd.",4.97,22.009999999999998,-31.0,0.072,43.4,19480219648,Real Estate - Development,Real Estate
6183.TW,Trade-Van Information Services Co.,3.39,19.236,9.8,1.462,82.4,12360000512,Specialty Business Services,Industrials
6184.TW,Dafeng TV Ltd.,3.17,11.6560005,3.1,1.758,52.9,7845705216,Entertainment,Communication Services
6189.TW,"Promate Electronic Co.,Ltd.",6.28,24.122,8.7,1.211,63.1,13802556416,Electronics & Computer Distribution,Technology
6191.TW,Global Brands Manufacture Ltd.,5.99,13.022,-11.5,1.412,60.1,28355360768,Electronic Components,Technology
6192.TW,"Lumax International Corp., Ltd.",10.37,14.866999999999999,25.5,1.566,96.3,9259823104,Industrial Distribution,Industrials
6196.TW,Marketech International Corp.,8.27,15.109,-1.0999999999999999,0.967,148.5,29895426048,Electronic Components,Technology
6197.TW,"Jess-link Products Co., Ltd.",8.55,28.168,12.5,2.403,126.0,15382836224,Computer Hardware,Technology
6201.TW,"Ya Horng Electronic Co., Ltd.",4.64,16.665001,-10.9,1.914,54.6,4870319616,"Furnishings, Fixtures & Appliances",Consumer Cyclical
6202.TW,Holtek Semiconductor Inc.,-0.66,-3.82,41.8,2.043,40.7,9205038080,Semiconductors,Technology
6205.TW,"Chant Sincere Co., Ltd.",2.42,8.427,3.9,4.631,59.1,4860147712,Electronic Components,Technology
6206.TW,"Flytech Technology Co., Ltd.",6.88,19.488001,19.900000000000002,4.326,111.5,15951413248,Computer Hardware,Technology
6209.TW,"Kinko Optical Co., Ltd.",-0.75,-4.381,14.799999999999999,1.6,27.25,4751636992,Electronic Components,Technology
6213.TW,ITEQ Corporation,2.26,4.099999700000001,13.600000000000001,1.613,59.4,21559646208,Electronic Components,Technology
6214.TW,Systex Corporation,7.64,12.279,3.2,1.377,112.5,28218712064,Information Technology Services,Technology
6215.TW,Aurotek Corporation,2.11,11.508001,127.49999999999999,1.929,74.2,6143017984,Specialty Industrial Machinery,Industrials
6216.TW,DrayTek Corporation,2.77,15.145000999999999,11.200000000000001,7.707,33.4,3192485632,Communication Equipment,Technology
6224.TW,Polytronics Technology Corp.,2.14,4.7,16.2,1.553,44.55,3815484672,Electronic Components,Technology
6225.TW,AIPTEK International Inc.,-0.07,-2.046,-38.3,1.789,12.95,360009984,Consumer Electronics,Technology
6226.TW,"Para Light Electronics Co., Ltd.",-0.44,-4.452,7.9,1.022,6.99,807589632,Electronic Components,Technology
6230.TW,Nidec Chaun-Choung Technology Corporation,1.48,2.173,-2.1999999999999997,1.669,139.0,12001677312,Electronic Components,Technology
6235.TW,Waffer Technology Corporation,3.05,13.62,-19.8,0.796,45.75,9141078016,Metal Fabrication,Industrials
6239.TW,Powertech Technology Inc.,9.03,12.073,-10.2,2.228,115.0,85806907392,Semiconductors,Technology
6243.TW,Ene Technology Inc.,1.1,5.9949997999999995,-7.6,7.985,35.0,1584408064,Semiconductors,Technology
6257.TW,Sigurd Microelectronics Corporation,5.67,14.799999999999999,22.6,2.463,69.3,33535102976,Semiconductor Equipment & Materials,Technology
6269.TW,"Flexium Interconnect, Inc.",-2.56,-3.1029999999999998,-33.2,2.178,54.3,17549813760,Electronic Components,Technology
6271.TW,"Tong Hsing Electronic Industries, Ltd.",8.17,6.836,-6.0,1.904,103.5,21637502976,Semiconductor Equipment & Materials,Technology
6277.TW,"Aten International Co., Ltd",4.08,10.3640005,2.0,1.257,66.9,7992610304,Computer Hardware,Technology
6278.TW,Taiwan Surface Mounting Technology Corp.,9.87,13.722000000000001,-2.5,1.348,101.0,29532198912,Semiconductors,Technology
6281.TW,E-Life Corporation,4.49,15.565999999999999,-0.8,0.704,68.8,6823095296,Specialty Retail,Consumer Cyclical
6282.TW,AcBel Polytech Inc.,-0.06,-0.15199999,-1.2,0.887,27.3,23438168064,Electrical Equipment & Parts,Industrials
6283.TW,"Shun On Electronic Co., Ltd.",0.77,-8.598,2.4,2.448,27.95,4094842880,Electronic Components,Technology
6285.TW,Wistron NeWeb Corporation,7.11,11.0489994,-5.800000000000001,0.999,125.0,60519374848,Communication Equipment,Technology
6288.TW,Excellence Optoelectronics Inc.,0.42,2.7660001,19.8,0.718,20.45,4250450944,Electronic Components,Technology
6405.TW,Onano Industrial Corp.,-0.75,-2.017,-57.8,35.326,23.9,1572620032,Electronic Components,Technology
6409.TW,Voltronic Power Technology Corp.,47.86,45.981997,9.0,1.556,1355.0,118861414400,Electrical Equipment & Parts,Industrials
