股票代碼,股票名稱,目前價格,成交量,市值,本益比,殖利率,更新時間
1535.TW,1535.TW,57.099998474121094,18167,0,0,0,2025-05-24 08:26:32
1536.TW,1536.TW,61.599998474121094,3078093,0,0,0,2025-05-24 08:26:44
1537.TW,1537.TW,144.0,34200,0,0,0,2025-05-24 08:26:56
1538.TW,1538.TW,28.850000381469727,4447,0,0,0,2025-05-24 08:27:07
1539.TW,1539.TW,19.299999237060547,30000,0,0,0,2025-05-24 08:27:19
1540.TW,1540.TW,31.549999237060547,262000,0,0,0,2025-05-24 08:27:30
1541.TW,1541.TW,28.200000762939453,124300,0,0,0,2025-05-24 08:27:42
1558.TW,1558.TW,99.0999984741211,21020,0,0,0,2025-05-24 08:27:54
1560.TW,1560.TW,282.5,2597765,0,0,0,2025-05-24 08:28:05
1563.TW,1563.TW,57.79999923706055,236431,0,0,0,2025-05-24 08:28:16
1568.TW,1568.TW,25.850000381469727,58000,0,0,0,2025-05-24 08:28:27
1582.TW,1582.TW,78.5,295003,0,0,0,2025-05-24 08:28:40
1583.TW,1583.TW,60.0,36021,0,0,0,2025-05-24 08:28:51
1587.TW,1587.TW,30.399999618530273,110197,0,0,0,2025-05-24 08:29:04
1589.TW,1589.TW,28.049999237060547,157000,0,0,0,2025-05-24 08:29:16
1590.TW,1590.TW,930.0,899025,0,0,0,2025-05-24 08:29:28
1597.TW,1597.TW,89.4000015258789,1986263,0,0,0,2025-05-24 08:29:40
1598.TW,1598.TW,22.600000381469727,82650,0,0,0,2025-05-24 08:29:51
1603.TW,1603.TW,38.29999923706055,255100,0,0,0,2025-05-24 08:30:03
1604.TW,1604.TW,27.450000762939453,211971,0,0,0,2025-05-24 08:30:14
1605.TW,1605.TW,22.700000762939453,9572383,0,0,0,2025-05-24 08:30:26
1608.TW,1608.TW,25.350000381469727,628658,0,0,0,2025-05-24 08:30:37
1609.TW,1609.TW,39.04999923706055,3663515,0,0,0,2025-05-24 08:30:48
1611.TW,1611.TW,13.949999809265137,114671,0,0,0,2025-05-24 08:31:00
1612.TW,1612.TW,33.54999923706055,342000,0,0,0,2025-05-24 08:31:11
1614.TW,1614.TW,39.650001525878906,69145,0,0,0,2025-05-24 08:31:24
1615.TW,1615.TW,52.29999923706055,35000,0,0,0,2025-05-24 08:31:36
1616.TW,1616.TW,27.25,5005821,0,0,0,2025-05-24 08:31:47
1617.TW,1617.TW,17.049999237060547,175023,0,0,0,2025-05-24 08:31:59
1618.TW,1618.TW,49.79999923706055,9030683,0,0,0,2025-05-24 08:32:11
1626.TW,1626.TW,12.199999809265137,28092,0,0,0,2025-05-24 08:32:23
1702.TW,1702.TW,46.79999923706055,359052,0,0,0,2025-05-24 08:32:34
1707.TW,1707.TW,135.0,59051,0,0,0,2025-05-24 08:32:46
1708.TW,1708.TW,37.599998474121094,983020,0,0,0,2025-05-24 08:32:57
1709.TW,1709.TW,18.350000381469727,90404,0,0,0,2025-05-24 08:33:08
1710.TW,1710.TW,13.649999618530273,806392,0,0,0,2025-05-24 08:33:19
1711.TW,1711.TW,16.899999618530273,546413,0,0,0,2025-05-24 08:33:31
1712.TW,1712.TW,42.599998474121094,188361,0,0,0,2025-05-24 08:33:42
1713.TW,1713.TW,54.70000076293945,273811,0,0,0,2025-05-24 08:33:54
1714.TW,1714.TW,8.100000381469727,496146,0,0,0,2025-05-24 08:34:06
1717.TW,1717.TW,25.950000762939453,679464,0,0,0,2025-05-24 08:34:17
1718.TW,1718.TW,6.769999980926514,1753224,0,0,0,2025-05-24 08:34:29
1720.TW,1720.TW,58.599998474121094,63057,0,0,0,2025-05-24 08:34:42
1721.TW,1721.TW,12.449999809265137,480101,0,0,0,2025-05-24 08:34:54
1722.TW,1722.TW,55.099998474121094,1302031,0,0,0,2025-05-24 08:35:06
1723.TW,1723.TW,95.80000305175781,62332,0,0,0,2025-05-24 08:35:19
1725.TW,1725.TW,30.200000762939453,6000,0,0,0,2025-05-24 08:35:32
1726.TW,1726.TW,77.5,10010,0,0,0,2025-05-24 08:35:44
1727.TW,1727.TW,24.149999618530273,190000,0,0,0,2025-05-24 08:35:55
1730.TW,1730.TW,57.29999923706055,31040,0,0,0,2025-05-24 08:36:06
1731.TW,1731.TW,22.950000762939453,20000,0,0,0,2025-05-24 08:36:18
1732.TW,1732.TW,27.850000381469727,714365,0,0,0,2025-05-24 08:36:30
1733.TW,1733.TW,31.5,115004,0,0,0,2025-05-24 08:36:41
1734.TW,1734.TW,33.349998474121094,167994,0,0,0,2025-05-24 08:36:53
1735.TW,1735.TW,16.350000381469727,10857,0,0,0,2025-05-24 08:37:06
1736.TW,1736.TW,148.0,648030,0,0,0,2025-05-24 08:37:17
1737.TW,1737.TW,32.650001525878906,32113,0,0,0,2025-05-24 08:37:28
1752.TW,1752.TW,37.04999923706055,35000,0,0,0,2025-05-24 08:37:41
